[1680] [-0.349818, 1.42289] [-0.94962, -1.43521]
[1690] [-0.36015, 1.41819] [-0.946477, -1.43047]
[1700] [-0.370437, 1.41331] [-0.94322, -1.42556]
[1710] [-0.380679, 1.40825] [-0.939849, -1.42047]
[1720] [-0.390875, 1.40303] [-0.936363, -1.41521]
[1730] [-0.401023, 1.39763] [-0.932764, -1.40978]
[1740] [-0.411122, 1.39207] [-0.929052, -1.40418]
[1750] [-0.421171, 1.38633] [-0.925228, -1.3984]
[1760] [-0.431169, 1.38043] [-0.921291, -1.39246]
[1770] [-0.441115, 1.37435] [-0.917243, -1.38634]
[1780] [-0.451006, 1.36811] [-0.913083, -1.38006]
[1790] [-0.460843, 1.36171] [-0.908813, -1.37361]
[1800] [-0.470623, 1.35513] [-0.904433, -1.36699]
[1810] [-0.480347, 1.34839] [-0.899943, -1.3602]
[1820] [-0.490011, 1.34149] [-0.895344, -1.35325]
[1830] [-0.499616, 1.33442] [-0.890637, -1.34613]
[1840] [-0.50916, 1.3272] [-0.885822, -1.33885]
[1850] [-0.518642, 1.3198] [-0.880899, -1.33141]
[1860] [-0.528061, 1.31225] [-0.87587, -1.3238]
[1870] [-0.537415, 1.30454] [-0.870735, -1.31603]
[1880] [-0.546704, 1.29667] [-0.865494, -1.3081]
[1890] [-0.555927, 1.28864] [-0.860148, -1.30001]
[1900] [-0.565081, 1.28045] [-0.854698, -1.29177]
[1910] [-0.574167, 1.27211] [-0.849145, -1.28336]
[1920] [-0.583183, 1.26361] [-0.843488, -1.2748]
[1930] [-0.592127, 1.25496] [-0.83773, -1.26609]
[1940] [-0.601, 1.24616] [-0.83187, -1.25721]
[1950] [-0.609799, 1.2372] [-0.825909, -1.24819]
[1960] [-0.618524, 1.22809] [-0.819848, -1.23901]
[1970] [-0.627174, 1.21883] [-0.813688, -1.22969]
[1980] [-0.635747, 1.20943] [-0.807429, -1.22021]
[1990] [-0.644243, 1.19987] [-0.801073, -1.21058]
[2000] [-0.65266, 1.19017] [-0.794619, -1.20081]
[2010] [-0.660997, 1.18033] [-0.788069, -1.19088]
[2020] [-0.669254, 1.17034] [-0.781424, -1.18082]
[2030] [-0.67743, 1.1602] [-0.774684, -1.17061]
[2040] [-0.685523, 1.14993] [-0.76785, -1.16025]
[2050] [-0.693532, 1.13952] [-0.760923, -1.14976]
[2060] [-0.701457, 1.12896] [-0.753904, -1.13912]
[2070] [-0.709296, 1.11827] [-0.746794, -1.12835]
[2080] [-0.717049, 1.10744] [-0.739593, -1.11743]
[2090] [-0.724715, 1.09648] [-0.732302, -1.10639]
[2100] [-0.732292, 1.08538] [-0.724923, -1.0952]
[2110] [-0.73978, 1.07415] [-0.717456, -1.08388]
[2120] [-0.747177, 1.06279] [-0.709902, -1.07243]
[2130] [-0.754484, 1.0513] [-0.702262, -1.06085]
[2140] [-0.761699, 1.03968] [-0.694536, -1.04914]
[2150] [-0.768821, 1.02793] [-0.686727, -1.0373]
[2160] [-0.775849, 1.01606] [-0.678835, -1.02533]
[2170] [-0.782782, 1.00406] [-0.67086, -1.01324]
[2180] [-0.78962, 0.991946] [-0.662804, -1.00103]
[2190] [-0.796362, 0.979706] [-0.654667, -0.988689]
[2200] [-0.803007, 0.967346] [-0.646452, -0.97623]
[2210] [-0.809554, 0.954868] [-0.638158, -0.963652]
[2220] [-0.816002, 0.942273] [-0.629786, -0.950956]
[2230] [-0.822351, 0.929563] [-0.621339, -0.938144]
[2240] [-0.8286, 0.91674] [-0.612816, -0.925217]
[2250] [-0.834747, 0.903804] [-0.604218, -0.912177]
[2260] [-0.840793, 0.890758] [-0.595548, -0.899025]
[2270] [-0.846736, 0.877603] [-0.586805, -0.885764]
[2280] [-0.852577, 0.864341] [-0.577991, -0.872394]
[2290] [-0.858313, 0.850973] [-0.569107, -0.858917]
[2300] [-0.863944, 0.837501] [-0.560155, -0.845335]
[2310] [-0.869471, 0.823926] [-0.551134, -0.83165]
[2320] [-0.874891, 0.810251] [-0.542046, -0.817863]
[2330] [-0.880205, 0.796476] [-0.532893, -0.803976]
[2340] [-0.885411, 0.782604] [-0.523675, -0.78999]
[2350] [-0.890509, 0.768636] [-0.514394, -0.775908]
[2360] [-0.895499, 0.754575] [-0.50505, -0.761731]
[2370] [-0.90038, 0.740421] [-0.495645, -0.74746]
[2380] [-0.905151, 0.726176] [-0.48618, -0.733098]
[2390] [-0.909812, 0.711842] [-0.476657, -0.718647]
[2400] [-0.914362, 0.697422] [-0.467075, -0.704107]
[2410] [-0.9188, 0.682915] [-0.457437, -0.689481]
[2420] [-0.923126, 0.668326] [-0.447743, -0.67477]
[2430] [-0.92734, 0.653654] [-0.437995, -0.659977]
[2440] [-0.931441, 0.638903] [-0.428194, -0.645103]
[2450] [-0.935428, 0.624073] [-0.418341, -0.63015]
[2460] [-0.939302, 0.609166] [-0.408437, -0.61512]
[2470] [-0.943061, 0.594185] [-0.398483, -0.600014]
[2480] [-0.946705, 0.579132] [-0.388482, -0.584835]
[2490] [-0.950233, 0.564007] [-0.378433, -0.569584]
[2500] [-0.953646, 0.548813] [-0.368339, -0.554263]
[2510] [-0.956943, 0.533552] [-0.358199, -0.538875]
[2520] [-0.960123, 0.518226] [-0.348017, -0.52342]
[2530] [-0.963186, 0.502836] [-0.337792, -0.507901]
[2540] [-0.966131, 0.487384] [-0.327526, -0.49232]
[2550] [-0.968959, 0.471873] [-0.31722, -0.476678]
[2560] [-0.971669, 0.456304] [-0.306876, -0.460978]
[2570] [-0.97426, 0.440679] [-0.296495, -0.445221]
[2580] [-0.976733, 0.424999] [-0.286078, -0.42941]
[2590] [-0.979087, 0.409268] [-0.275626, -0.413546]
[2600] [-0.981321, 0.393487] [-0.265141, -0.397632]
[2610] [-0.983436, 0.377657] [-0.254623, -0.381668]
[2620] [-0.985432, 0.361781] [-0.244075, -0.365658]
[2630] [-0.987307, 0.34586] [-0.233497, -0.349602]
[2640] [-0.989061, 0.329897] [-0.222891, -0.333504]
[2650] [-0.990696, 0.313893] [-0.212257, -0.317365]
[2660] [-0.99221, 0.297851] [-0.201598, -0.301187]
[2670] [-0.993602, 0.281773] [-0.190915, -0.284972]
[2680] [-0.994874, 0.265659] [-0.180208, -0.268722]
[2690] [-0.996025, 0.249513] [-0.16948, -0.252438]
[2700] [-0.997054, 0.233337] [-0.158731, -0.236124]
[2710] [-0.997962, 0.217131] [-0.147962, -0.219781]
[2720] [-0.998749, 0.200899] [-0.137176, -0.20341]
[2730] [-0.999414, 0.184642] [-0.126373, -0.187015]
[2740] [-0.999957, 0.168363] [-0.115555, -0.170597]
[2750] [-1.00038, 0.152062] [-0.104723, -0.154157]
[2760] [-1.00068, 0.135743] [-0.0938779, -0.137699]
[2770] [-1.00086, 0.119408] [-0.0830216, -0.121223]
[2780] [-1.00091, 0.103057] [-0.0721553, -0.104733]
[2790] [-1.00085, 0.0866935] [-0.0612801, -0.0882294]
[2800] [-1.00066, 0.0703194] [-0.0503976, -0.071715]
[2810] [-1.00035, 0.0539364] [-0.0395089, -0.0551918]
[2820] [-0.999917, 0.0375467] [-0.0286155, -0.0386616]
[2830] [-0.999364, 0.0211523] [-0.0177186, -0.0221266]
[2840] [-0.99869, 0.00475513] [-0.00681953, -0.00558877]
[2850] [-0.997894, -0.0116428] [0.00408036, 0.0109499]
[2860] [-0.996976, -0.0280394] [0.0149797, 0.0274874]
[2870] [-0.995938, -0.0444328] [0.0258773, 0.0440216]
[2880] [-0.994778, -0.0608209] [0.0367717, 0.0605506]
[2890] [-0.993497, -0.0772018] [0.0476617, 0.0770723]
[2900] [-0.992095, -0.0935733] [0.0585459, 0.0935846]
[2910] [-0.990572, -0.109934] [0.069423, 0.110086]
[2920] [-0.98893, -0.126281] [0.0802916, 0.126573]
[2930] [-0.987166, -0.142612] [0.0911505, 0.143046]
[2940] [-0.985283, -0.158927] [0.101998, 0.159501]
[2950] [-0.98328, -0.175222] [0.112834, 0.175936]
[2960] [-0.981157, -0.191496] [0.123656, 0.19235]
[2970] [-0.978915, -0.207746] [0.134462, 0.208741]
[2980] [-0.976554, -0.223971] [0.145253, 0.225106]
[2990] [-0.974075, -0.240169] [0.156026, 0.241444]
[3000] [-0.971477, -0.256338] [0.16678, 0.257753]
[3010] [-0.968761, -0.272476] [0.177513, 0.27403]
[3020] [-0.965927, -0.28858] [0.188226, 0.290273]
[3030] [-0.962975, -0.30465] [0.198915, 0.306481]
[3040] [-0.959907, -0.320682] [0.20958, 0.322652]
[3050] [-0.956722, -0.336675] [0.22022, 0.338783]
[3060] [-0.953421, -0.352627] [0.230833, 0.354873]
[3070] [-0.950004, -0.368537] [0.241418, 0.37092]
[3080] [-0.946472, -0.384401] [0.251974, 0.386922]
[3090] [-0.942824, -0.400218] [0.262499, 0.402876]
[3100] [-0.939062, -0.415987] [0.272993, 0.418781]
[3110] [-0.935186, -0.431705] [0.283453, 0.434635]
[3120] [-0.931197, -0.44737] [0.293879, 0.450436]
[3130] [-0.927094, -0.462981] [0.304269, 0.466181]
[3140] [-0.922879, -0.478535] [0.314622, 0.48187]
[3150] [-0.918552, -0.494031] [0.324938, 0.4975]
[3160] [-0.914113, -0.509467] [0.335213, 0.513069]
[3170] [-0.909564, -0.524841] [0.345449, 0.528576]
[3180] [-0.904904, -0.54015] [0.355642, 0.544018]
[3190] [-0.900134, -0.555394] [0.365792, 0.559394]
[3200] [-0.895255, -0.57057] [0.375898, 0.574701]
[3210] [-0.890267, -0.585676] [0.385958, 0.589938]
[3220] [-0.885171, -0.600711] [0.395971, 0.605103]
[3230] [-0.879968, -0.615673] [0.405937, 0.620194]
[3240] [-0.874658, -0.63056] [0.415853, 0.63521]
[3250] [-0.869243, -0.64537] [0.425719, 0.650148]
[3260] [-0.863721, -0.660101] [0.435533, 0.665006]
[3270] [-0.858095, -0.674751] [0.445294, 0.679783]
[3280] [-0.852365, -0.68932] [0.455001, 0.694478]
